编号,分类,机制/机关,适用类型,运作规则,角色性能依赖,依赖能力或参数,玩家操作或协作要求,典型出处,设计分析,合并来源,原文参考链接,出处说明
LM-018,平台与能力通路,坍塌平台与地板,平台跳跃；动作冒险；类银河恶魔城,踩踏或触发后失去支撑，迫使玩家继续移动或改变回程。,是,移动速度；起跳延迟；坍塌时间,快速选择后续落点,《Celeste》；《超级马里奥》；《古墓丽影》,坍塌预警必须覆盖必要反应时间；重置与不可逆版本应有明确区别。,关卡机制2.md #15 地板坍塌；关卡机制1.md 坍塌平台,,
LM-019,平台与能力通路,单向穿透平台,平台跳跃；动作冒险；类银河恶魔城,允许从下方穿过并在上表面落脚；下穿是否允许由规则决定。,是,跳跃高度；下穿输入；碰撞规则,在上下层之间切换,《超级马里奥》,可降低竖向通路拥堵；不能把上穿平台误作水平单向门，两者路线作用不同。,关卡机制2.md #18 单向平台,,修正原文对单向平台通行方向的不准确说明。
LM-020,平台与能力通路,弹跳平台与弹簧,平台跳跃；动作冒险；类银河恶魔城,接触装置后获得额外速度，进入常规跳跃不能到达的路线。,是,弹射速度；空中控制；落地规则,调整接触方向与落点,《索尼克》；《超级马里奥》,装置提供位移能力，但仍需匹配角色控制参数；落点预览能减少盲跳。,关卡机制2.md #19 弹跳平台；关卡机制1.md 弹力平台,,
LM-021,平台与能力通路,旋转平台,平台跳跃；动作冒险；类银河恶魔城,平台围绕轴心旋转，落脚面和离开方向持续变化。,是,跳跃能力；附着或摩擦规则,选择站位和离开时机,《超级马里奥银河》,角速度、半径和镜头共同决定难度；应避免旋转造成无法读图的遮挡。,关卡机制1.md 旋转平台,,
LM-022,平台与能力通路,伸缩平台,平台跳跃；动作冒险；类银河恶魔城,落脚面按周期伸出、缩回或短暂出现。,是,移动速度；跳跃距离,识别周期并连续换位,《Celeste》；《空洞骑士》,应让安全窗口可观察；多平台组合要检查相位，避免随机起步进入必死序列。,关卡机制1.md 伸缩平台,,原文仅给系列名，具体伸缩平台场景待核实。
LM-023,平台与能力通路,高台与远距能力门槛,平台跳跃；动作冒险；类银河恶魔城,高差或断层超出基础跳跃范围，获得二段跳或冲刺后可通过。,是,二段跳高度；空中冲刺距离；能力次数,判断能力是否足够并衔接动作,《空洞骑士》,以明确的空间尺寸表达门槛；需区分能力未解锁与操作失败，避免误导反复尝试。,关卡机制2.md #26 二段跳；关卡机制2.md #27 空中冲刺；关卡机制2.md #139 二段跳；关卡机制2.md #140 冲刺,,删除原文《Hades》《Dead Cells》作为空中冲刺的模糊例子，保留《空洞骑士》。
LM-024,平台与能力通路,墙跳竖井,平台跳跃；动作冒险；类银河恶魔城,通过相对墙面的连续墙跳逐步抬升高度。,是,墙跳反弹距离；抓墙判定；空中控制,切换方向并控制跳跃节奏,《Celeste》；《密特罗德》,墙间距决定动作节奏；镜头应提前露出上方落点及危险物。,关卡机制2.md #28 墙跳,,
LM-025,平台与能力通路,攀爬面与抓点路线,平台跳跃；动作冒险；类银河恶魔城,只有特定墙面或抓点可攀爬，路径可受体力限制。,是,攀爬速度；体力；抓取距离,规划抓点和休息位置,《Celeste》；《刺客信条》；《神秘海域》,可攀与不可攀表面需区分；体力路线应提供判断下一休息点的机会。,关卡机制2.md #29 爬墙；关卡机制1.md 墙壁/攀爬面,,
LM-026,平台与能力通路,墙跑通路,平台跳跃；动作冒险；类银河恶魔城,连续墙面提供临时支撑，使玩家跨越缺口或危险地带。,是,墙跑速度与时长；入墙角；跳离距离,保持速度并衔接下一表面,《泰坦陨落2》；《镜之边缘》,墙长与转角必须支持实际动作链；需给中断后的恢复落点。,关卡机制2.md #30 墙跑,,
LM-027,平台与能力通路,钩锁锚点与裂隙拉拽,平台跳跃；动作冒险；类银河恶魔城,预设锚点允许远距拉近角色，组成跨越或高低层通路。,是,钩锁距离；视线要求；有效角度,选择锚点并衔接移动,《只狼》；《正当防卫》；《瑞奇与叮当：时空跳转》,锚点既是路线也是方向提示；要验证锁定、遮挡和抵达点不会导致误落。,关卡机制2.md #31 钩锁；关卡机制2.md #141 钩锁；关卡机制2.md #149 Far Reach；关卡机制2.md #156 时空裂隙,https://www.playstation.com/en-sg/editorial/how-ps5-helped-make-ratchet-and-clank-rift-apart-possible/,原文 Far Reach 为角色能力，此处只提取锚点通路；例子沿用原文相关作品。
LM-028,平台与能力通路,摆荡锚点与动量缺口,平台跳跃；动作冒险；类银河恶魔城,利用绳索或钩点摆荡蓄速，在合适时机释放以跨越缺口。,是,绳长；摆速；动量保留；空中控制,控制摆幅和释放时机,《漫威蜘蛛侠》；《生化尖兵》；《正当防卫》,缺口应按可获得的动量布置；只看直线距离无法判断可达性。,关卡机制2.md #32 摆荡；关卡机制2.md #45 钩锁摇摆,,原文钩锁摇摆链接的作品名与正文不一致，该链接不作为本条证据。
LM-029,平台与能力通路,滑翔起点与落点链,平台跳跃；动作冒险；类银河恶魔城,高处为滑翔提供高度，低处平台或风场构成后续路线。,是,滑翔下降率；水平速度；体力；展开条件,估算航程并选择安全落点,《孤岛惊魂》；《塞尔达传说》,起点高度等于路线预算；远景需要让玩家读出可落区域。,关卡机制2.md #33 翼装滑翔,,区分翼装与滑翔伞，两者参数不能直接通用。
LM-030,平台与能力通路,滑轨与轨道换乘,平台跳跃；动作冒险；类银河恶魔城,进入轨道后沿限定方向高速运动，在节点跳离或换轨。,是,滑轨速度；跳离距离；换轨判定,预判分支和障碍时机,《索尼克》；《瑞奇与叮当》,视距必须随速度增长；分支入口要在玩家能作决定时出现。,关卡机制2.md #24 滑轨,,
LM-031,平台与能力通路,坡面动量通路,平台跳跃；动作冒险；类银河恶魔城,坡度改变速度，后续缺口或弯道要求保留或消耗这段动量。,是,加速度；摩擦；速度上限；制动距离,选择助跑路线和减速时机,《索尼克》；《镜之边缘》,让速度来源和用途在空间上相连；应检查低速进入时是否有补救路线。,关卡机制2.md #39 坡面加速,,
LM-032,平台与能力通路,蓄速跑道与速度破障,平台跳跃；动作冒险；类银河恶魔城,连续助跑获得高速状态，再穿越速度门或破坏指定障碍。,是,Speed Booster等能力；加速距离；转向与蓄能规则,保持速度并完成路线衔接,《密特罗德：生存恐惧》,跑道长度、转角和蓄能时限共同约束解法；不能只把障碍看成另一种钥匙门。,关卡机制2.md #46 速度蓄力；关卡机制2.md #138 冲刺破墙；关卡机制2.md #148 Speed Booster,https://metroid.nintendo.com/dread/samus/,
LM-033,平台与能力通路,磁力附着轨道,平台跳跃；动作冒险；类银河恶魔城,角色以特定形态附着磁轨，沿墙面或顶面移动。,是,Spider Ball等能力；轨道附着与脱离规则,沿轨道寻找切换与退出位置,《密特罗德Prime》,新增可通行表面应有一致材质；复杂转面要保证镜头可读。,关卡机制2.md #47 磁力轨道；关卡机制2.md #144 磁力,https://csassets.nintendo.com/noaext/image/private/t_KA_PDF/GCN_Metroid_Prime?_a=DATC1RAAZAA0,
LM-034,平台与能力通路,炸弹跳竖向通路,平台跳跃；动作冒险；类银河恶魔城,狭小空间利用炸弹冲量抬升球形角色，通过普通跳跃不可用的路段。,是,球形态；炸弹；爆炸延迟与冲量,安排爆炸节奏和角色位置,《密特罗德Prime》,明确区分常规可达与高技巧路线；失败后要能回到可重复尝试的位置。,关卡机制2.md #147 炸弹跳,,
LM-035,平台与能力通路,瞬移可达平台,平台跳跃；动作冒险；类银河恶魔城,通过视线内的瞬移跨越缺口或绕过地面威胁。,是,瞬移距离；合法落点；资源消耗,观察落点与下一段路线,《耻辱》,几何摆放要兼顾普通路线和瞬移路线；需排查隔墙落点与非预期跳关。,关卡机制2.md #150 Blink,,
LM-036,平台与能力通路,水面与水下通道,平台跳跃；动作冒险；类银河恶魔城,进入水域后切换移动方式，深水部分形成独立通路。,是,游泳、潜水能力；水下速度；呼吸或装备限制,控制深度并寻找上岸点,《超级马里奥》；《密特罗德》；《古墓丽影》；《地平线》,水上水下的入口应互相提示；长水道需把返程和换气成本算入距离。,关卡机制2.md #36 游泳；关卡机制2.md #37 潜水；关卡机制2.md #146 水下装备,,
LM-037,环境状态与物理,低摩擦冰面,动作冒险；解谜；生存；沙盒,降低制动和转向能力，或使角色持续滑到障碍处。,是,摩擦；加减速度；转向规则,提前制动或规划滑行终点,《超级马里奥》；《塞尔达传说》；《精灵宝可梦》,自由滑行与格点滑行是两种变体；需用清楚的边界支持玩家预测终点。,关卡机制2.md #40 冰面；关卡机制1.md 冰面/打滑地面,,
LM-038,环境状态与物理,减速与下陷地面,动作冒险；解谜；生存；沙盒,泥地、沙地等提高通过成本，部分区域停留过久会下陷。,是,移动速度；脱困能力；负重影响,平衡直线路径与稳定路面,《超级马里奥》；《死亡搁浅》,困难应来自可判断的路面代价；不要仅用无提示减速延长移动时间。,关卡机制2.md #41 泥地；关卡机制2.md #42 沙地,,原文未区分普通沙地与流沙，整理时按实际地面规则选择变体。
LM-039,环境状态与物理,传送带,动作冒险；解谜；生存；沙盒,地表持续给角色或物体施加方向速度。,是,移动速度；传送带速度；速度叠加规则,抵消位移或利用顺向加速,《索尼克》；《超级马里奥》,逆向通过能力取决于相对速度；还可与搬运、陷阱相组合。,关卡机制1.md 传送带,,
LM-040,环境状态与物理,可燃物与火势传播,动作冒险；解谜；生存；沙盒,火源点燃可燃物，传播后清除障碍或扩大危险区域。,条件依赖,点火工具或场景火源；可燃材质规则,判断传播路径及撤退空间,《孤岛惊魂2》；《Minecraft》,传播结果应可预测；同时验证任务物件和必经路线不会被永久破坏。,关卡机制2.md #49 火焰传播；关卡机制2.md #50 可燃物,,
LM-041,环境状态与物理,灭火与冰雪融化,动作冒险；解谜；生存；沙盒,通过水或热源改变燃烧、冻结状态，恢复通路或释放物件。,条件依赖,水源、火源或对应元素工具,寻找作用对象并观察状态变化,《塞尔达传说》,适合把元素认知转成空间结果；同材质应遵循一致规则。,关卡机制2.md #51 灭火；关卡机制2.md #57 融化,,原文《Alan Wake》灭火例子不明确，未采用。
LM-042,环境状态与物理,水位升降,动作冒险；解谜；生存；沙盒,控制水位，使平台、入口或浮动物体的可达性改变。,条件依赖,操作机关；部分路径需游泳或潜水,对比不同水位下的路线,《超级马里奥》；《塞尔达传说》,水位变化要有清晰参照物；排查升降后钥匙、物体或玩家被困的状态。,关卡机制2.md #52 水位升降,,
LM-043,环境状态与物理,水流推动与导流,动作冒险；解谜；生存；沙盒,水流推动角色或物体，可通过改变流向组织路线和运输。,条件依赖,水流与游速；阻挡和浮动规则,利用顺流并寻找逆流替代路线,《塞尔达传说》；《Minecraft》,同一水流可兼作动力和阻碍；必须留意物体被冲出可取回范围。,关卡机制2.md #53 水流推动；关卡机制2.md #216 水流,,
LM-044,环境状态与物理,导电介质与电路接通,动作冒险；解谜；生存；沙盒,水、金属或导体连接电源与目标，触发装置或危险区。,条件依赖,电源或电属性工具；材料导电规则,连接、隔离并判断电流影响范围,《塞尔达传说》；《BioShock》,需要区分解谜电路和伤害水域；用可见反馈说明通电范围。,关卡机制2.md #54 导电；关卡机制1.md 元素激活,,
LM-045,环境状态与物理,冻结水面与造冰通路,动作冒险；解谜；生存；沙盒,将液态表面或水体局部冻结，生成可站立的路线。,是,冰冻能力或道具；作用范围与持续时间,安排冰面生成位置和通过顺序,《超级马里奥银河》,生成平台的尺寸应匹配落脚判定；融化时限要允许观察下一步。,关卡机制2.md #56 冰冻,,
LM-046,环境状态与物理,风场与上升气流,动作冒险；解谜；生存；沙盒,持续或周期气流改变角色运动，提供升力或横向干扰。,条件依赖,空中控制；滑翔能力；风力与作用范围,判断顺逆风并修正落点,《超级马里奥》；《塞尔达传说》,风向和强度需要可视提示；叠加跳跃时要验证最终轨迹而非各自参数。,关卡机制2.md #58 风场,,
LM-047,环境状态与物理,爆炸物与连锁爆炸,动作冒险；解谜；生存；沙盒,引爆场景物件后伤害邻近目标，也可能连带破坏其他结构。,条件依赖,射击、点火或场景触发器；爆炸范围,选择引爆时机并保持安全距离,《DOOM》；《半条命》；《孤岛惊魂》；《合金弹头》,摆位应提供可理解的收益；连爆可用来开路，但需避免必经点无预警秒杀。,关卡机制2.md #59 爆炸传播；关卡机制2.md #120 可射爆环境；关卡机制2.md #184 爆炸桶；关卡机制1.md 爆炸物/滚筒,,
LM-048,环境状态与物理,可破坏建筑与桥梁,动作冒险；解谜；生存；沙盒,承重结构被破坏后坍塌，改变通路、视线或两侧连通。,条件依赖,破坏工具；结构强度；脚本触发条件,判断结构变化及备用路线,《战地》；《彩虹六号：围攻》；《使命召唤》,破坏要真正改变空间选择；需处理残骸碰撞、回程以及目标仍可达的问题。,关卡机制2.md #60 可破坏结构；关卡机制2.md #186 爆炸桥,,
LM-049,环境状态与物理,断电设施与电源分配,动作冒险；解谜；生存；沙盒,找回电源、插入电池或切换供电，启停电梯、门等设施。,条件依赖,可携带电源；交互或搬运能力,在多个用电对象之间分配电源,《死亡空间》,同时只能供电的设备可形成取舍；拔电后仍应允许玩家取回关键物件。,关卡机制2.md #61 电梯断电；关卡机制2.md #162 电池,,
LM-050,环境状态与物理,毒气与有害水域,动作冒险；解谜；生存；沙盒,区域持续伤害或限制停留，可用防护、排除污染或绕路应对。,条件依赖,防护装备；耐受时间；移动速度,估算通过时间和撤退余量,《生化危机》；《BioShock》；《古墓丽影》,软边界要让玩家读懂累积代价；防护是否必要应与实际伤害模型一致。,关卡机制2.md #62 气体/毒气；关卡机制2.md #63 有毒水域,,
LM-051,环境状态与物理,熔岩与致命液体,动作冒险；解谜；生存；沙盒,特定液面接触即造成高额伤害、弹回或死亡。,条件依赖,跳跃和位移；伤害或即死规则,寻找安全落点并避免坠落,《超级马里奥》；《黑暗之魂》；《Portal 2》；《Minecraft》,危险外观需统一；区分可付代价穿越与绝对不可进入，避免错误路线预期。,关卡机制2.md #64 熔岩；关卡机制2.md #65 酸液；关卡机制2.md #217 岩浆,,将原文《Portal 2》酸液改为致命液体，避免未经确认的材质判断。
LM-052,环境状态与物理,高温与低温区域,动作冒险；解谜；生存；沙盒,局部温度持续消耗生存资源，防护或休息点使路线可行。,条件依赖,耐热或保暖装备；耐受时长；移动速度,选择补给、避难和穿越路线,《密特罗德》；《死亡搁浅》；《深海迷航》,温度压力应有可预估范围；防护能力最好改变可达性而非只减缓扣血。,关卡机制2.md #67 低温区域；关卡机制2.md #145 热防护；关卡机制2.md #221 温度区域,,
LM-053,环境状态与物理,雨雪与低能见度天气,动作冒险；解谜；生存；沙盒,天气改变可见范围、路面或设备损耗，影响原有路线价值。,条件依赖,抓地与移动性能；载具或防护条件,据天气重新选择路线和停留时机,《死亡搁浅》；《荒野大镖客：救赎2》,只有实际改变行动或风险时才作为机制；单纯气氛效果不单列。,关卡机制2.md #68 暴雨/天气；关卡机制2.md #69 沙尘暴；关卡机制2.md #224 天气,,原文沙尘暴仅有笼统示例，合并为低能见度天气；具体沙尘暴场景待核实。
LM-054,环境状态与物理,黑暗与照明区域,动作冒险；解谜；生存；沙盒,可见空间受照明限制，光源决定能发现的路线和危险。,条件依赖,照明工具；照明距离；可选电量限制,搜索光源并管理暴露与视野,《Alan Wake》；《Amnesia》；《逃生》；《寂静岭》,黑暗需仍能支持基本导航；电量限制只有影响探索路线时才纳入本条。,关卡机制2.md #70 黑暗；关卡机制2.md #227 黑暗；关卡机制2.md #228 手电电量；关卡机制1.md 黑暗/视野限制,,
LM-055,环境状态与物理,表面凝胶,动作冒险；解谜；生存；沙盒,涂覆不同凝胶后，表面获得弹跳、加速或可放置传送门等属性。,条件依赖,跳跃与速度控制；传送门工具；凝胶供给,安排涂覆位置和运动路线,《Portal 2》,把材料属性和几何解法绑定；不同凝胶需要明显区分并支持重置错误涂覆。,关卡机制2.md #82 凝胶表面,,
LM-056,环境状态与物理,重力翻转与重力方向区,动作冒险；解谜；生存；沙盒,触发装置或进入区域后改变重力方向，使墙或顶面成为落脚面。,条件依赖,重力切换条件；空中控制；落地规则,重新判断上下与着陆面,《超级马里奥银河》,方向变化需要过渡提示；镜头旋转、惯性与控制映射必须一起校验。,关卡机制2.md #48 反重力；关卡机制2.md #89 重力切换,,原文《Portal》《Prey》反重力说法混杂；仅保留有明确方向变化的《超级马里奥银河》示例。
LM-057,环境状态与物理,昼夜危险切换,动作冒险；解谜；生存；沙盒,时间改变区域中的危险或通路条件，使同一路线具有不同成本。,条件依赖,夜间照明或防护；区域危险规则,选择出发、等待或避难时机,《Minecraft》,昼夜应改变明确的空间决策；保留关卡层面的变化，不单列敌人生物钟。,关卡机制2.md #223 夜晚,,
LM-058,谜题与信息机关,压力板与重物压板,解谜；动作冒险；平台解谜,角色或物体占据感应区域时持续输出机关状态。,条件依赖,对象质量或类型；搬运规则；碰撞尺寸,寻找替代压板物并规划离开方式,《Portal》；《塞尔达传说》；《原神》,应明确检测重量、数量还是占用；不要把所有压板都默认解释为体重检测。,关卡机制2.md #71 压力板；关卡机制2.md #72 重物压板；关卡机制2.md #80 方块重量；关卡机制1.md 压感装置,,
LM-059,谜题与信息机关,多点同时触发,解谜；动作冒险；平台解谜,多个感应点同时满足条件才打开通路。,条件依赖,物体数量与搬运能力；可由多人替代,分配重物或角色并保持触发状态,《塞尔达传说》；《双人成行》,重点是有限对象的空间分配；多人版本另见合作机关。,关卡机制2.md #73 多压力板同时激活；关卡机制1.md 压感装置,,
LM-060,谜题与信息机关,顺序与组合输入,解谜；动作冒险；平台解谜,按特定顺序、方向或组合操作装置后改变机关状态。,无,基础交互；机关状态记忆,读取线索并推导输入顺序,《生化危机》,线索应支持推理；失败反馈需帮助定位错误，避免大量盲试。,关卡机制2.md #74 拉杆组合；关卡机制2.md #95 顺序输入,,
LM-061,谜题与信息机关,全局开关与双色状态块,解谜；动作冒险；平台解谜,一次切换使多处平台、门或障碍在两种状态间互换。,条件依赖,切换输入；动态版本需跳跃与移动性能,预测切换后脚下及前方空间,《超级马里奥制造》,同一开关会影响多处空间，必须显示影响范围并防止不可恢复死锁。,关卡机制2.md #75 ON/OFF切换,,
LM-062,谜题与信息机关,光线反射与反射盾机关,解谜；动作冒险；平台解谜,调整反射面或持盾朝向，使光束到达接收装置。,条件依赖,可旋转反射器；部分版本需反射盾,观察入射方向并调整角度,《Portal 2》；《塞尔达传说》,谜题难点应在几何关系；过细角度判定容易把推理变成瞄准摩擦。,关卡机制2.md #76 光线反射；关卡机制2.md #143 盾牌反射,,原文《Portal》未区分作品版本，反射激光例子按《Portal 2》整理。
LM-063,谜题与信息机关,光线分流与多接收器,解谜；动作冒险；平台解谜,用分光或转接对象把一条光路分配给多个目标。,条件依赖,分光元件与旋转规则,安排光路覆盖和共享节点,《塞尔达传说》；《Tunic》,共享光路会增加耦合；应清楚显示各接收器的激活状态。,关卡机制2.md #77 光线分流,,原文未给具体分光装置或场景；游戏对应待核实。
LM-064,谜题与信息机关,光束遮挡与激光挡板,解谜；动作冒险；平台解谜,用物体截断或放行光束，改变接收器状态或安全通路。,条件依赖,搬运或操纵物体的能力,权衡挡光和其他机关状态,《Portal 2》,同一物体可兼顾压板和挡光，但状态冲突必须有可观察的反馈。,关卡机制2.md #78 激光挡板,,
LM-065,谜题与信息机关,物体搬运与远距操纵,解谜；动作冒险；平台解谜,搬动方块或场景物件，搭路、压板或改变障碍布局。,条件依赖,搬运、牵引或重力枪；物体质量和抓取距离,选择物件和摆放位置,《Portal》；《塞尔达传说》；《半条命2》,物体要能被可靠放置和取回；自由物理带来的丢失、翻转和卡位须有恢复办法。,关卡机制2.md #79 方块搬运；关卡机制2.md #153 重力枪,,保留物件与关卡的作用；不把重力枪本身作为独立机关。
LM-066,谜题与信息机关,动量与传送门弹射,解谜；动作冒险；平台解谜,利用高度差获得速度，经传送门改变运动方向以抵达目标。,是,传送门工具；速度保留；空中控制,选择入口高度、出口方向和落点,《Portal》；《Portal 2》,需要同时呈现空间连接与速度来源；可用安全落点逐步教会动量规则。,关卡机制2.md #20 传送门；关卡机制2.md #81 动量解谜；关卡机制2.md #155 传送能力；关卡机制1.md 传送门,,
LM-067,谜题与信息机关,可放置传送门表面,解谜；动作冒险；平台解谜,限定材质可创建相互连接的入口，重组人员或物件通路。,是,传送门工具；射程与视线；可放置表面,寻找配对表面并理解出口朝向,《Portal》系列,表面白名单决定谜题边界；需检查玩家能否隔空开门绕过必要流程。,关卡机制2.md #20 传送门；关卡机制2.md #155 传送能力；关卡机制1.md 传送门,,
